year,idind,x,y
2012,564,"8","2"
2012,22836,"8","2"
2012,11475,"8","4"
2012,596,"8","4"
2012,20037,"8","4"
2012,16371,"12","3"
2012,606,"8","3"
2012,609,"8","1"
2012,40781,"8","3"
2012,21496,"7","3"
2012,604,"8","2"
2012,25282,"5","2"
2012,21492,"9","1"
2012,28744,"8","1"
2012,28747,"10","2"
2012,28749,"8","2"
2012,20045,"11","3"
2012,20046,"8","3"
2012,20048,"8","3"
2012,612,"8","4"
2012,14439,"9","4"
2012,620,"7","3"
2012,621,"8","1"
2012,14440,"7","4"
2012,16374,"8","2"
2012,16375,"12","2"
2012,44262,"9","2"
2012,629,"12","3"
2012,630,"10","2"
2012,40782,"14","3"
2012,25287,"8","3"
2012,638,"4","3"
2012,639,"7","3"
2012,25288,"8","2"
2012,643,"12","3"
2012,644,"12","3"
2012,17987,"8","1"
2012,17988,"6","2"
2012,17989,"9","1"
2012,21502,"8","1"
2012,30187,"9","1"
2012,642,"8","3"
2012,16382,"8","3"
2012,16379,"8","2"
2012,24153,"8","2"
2012,25315,"8","2"
2012,14444,"8","3"
2012,32795,"14","3"
2012,662,"8","2"
2012,663,"8","3"
2012,667,"5","4"
2012,670,"8","3"
2012,22851,"7","2"
2012,22852,"8","3"
2012,22854,"12","3"
2012,28762,"24","2"
2012,651,"8","2"
2012,17992,"8","2"
2012,30190,"8","3"
2012,30191,"8","3"
2012,11501,"12","4"
2012,11503,"8","2"
2012,28766,"8","2"
2012,678,"7","2"
2012,681,"7","3"
2012,682,"8","3"
2012,683,"24","2"
2012,684,"9","1"
2012,685,"8","2"
2012,686,"6","3"
2012,687,"8","1"
2012,30192,"9","1"
2012,32798,"6","2"
2012,32799,"12","3"
2012,676,"8","3"
2012,16387,"12","4"
2012,25342,"8","4"
2012,44626,"12","3"
2012,32801,"8","3"
2012,32804,"8","2"
2012,11509,"5","4"
2012,11511,"8","1"
2012,716,"7","4"
2012,17994,"10","3"
2012,44263,"8","3"
2012,31420,"8","3"
2012,44629,"8","2"
2012,44631,"8","2"
2012,44634,"4","5"
2012,44635,"24","3"
2012,44637,"8","1"
2012,44638,"11","2"
2012,32807,"10","2"
2012,32809,"8","3"
2012,28738,"8","3"
2012,28739,"8","3"
2012,729,"8","4"
2012,744,"8","2"
2012,25354,"8","2"
2012,740,"8","3"
2012,24160,"12","3"
2012,32816,"8","3"
2012,32817,"8","3"
2012,32818,"8","4"
2012,32819,"11","3"
2012,40786,"11","2"
2012,44646,"13","2"
2012,32820,"8","2"
2012,32821,"8","2"
2012,32822,"8","2"
2012,32823,"8","2"
2012,44649,"8","3"
2012,44650,"7","2"
2012,32833,"8","2"
2012,32834,"8","2"
2012,32837,"9","4"
2012,32841,"8","3"
2012,32842,"8","4"
